ModelNickname,Estimator,Xvars,HyperParams,Scaler,Tuned,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,integration,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25,), 'solver': 'adam', 'random_state': 20}",,True,1,26,44558.17544102233,1.1605613577532614,32501.24328775293,-0.08021690007423166,-1158.6476350505732,44091.850000000006,26809.53674808627,2.01321501643183,19190.25842542253,0.27111161494805314,13,rmse,22071.45189266992,,,,33728.27310938075,0.19261727329750233,22866.46578409156,0.0892721838851912,True,Albany-conventional,Albany,conventional
prophet,prophet,,{'n_changepoints': 0},,True,1,26,42984.67028889062,1.3314667904169122,32422.388414263867,-0.0052714971929941346,-1667.8307869924317,44091.850000000006,30751.357791372076,2.057499236703208,22712.404520460354,0.04101679135397396,13,rmse,22864.651818000566,True,,,70264.69103380179,0.5542839279712752,60976.16200071267,-2.9525254181050062,False,Albany-conventional,Albany,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'max_depth': 2, 'n_estimators': 100}",minmax,True,1,26,57284.20357379018,8.209368686821827,48470.79939063146,-0.7853605252974718,-23301.718093422944,44091.850000000006,14827.266889641502,2.1024364253615024,11366.733134358125,0.777051466454644,13,rmse,50050.37119686512,,,,76681.07519087331,0.5797499753717262,64306.863221200925,-3.707353111298951,False,Albany-conventional,Albany,conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{},,True,1,26,39571.65874793398,2.0545699284074845,30080.5355189692,0.14802925981939863,-3661.813965320587,44091.850000000006,24630.70946197822,4.395984791833582,18494.489360579068,0.3847717726647639,13,rmse,23631.37498873662,,,,77238.10813868948,0.5964647350743404,66290.86841180644,-3.7759925975005713,False,Albany-conventional,Albany,conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'n_neighbors': 12, 'weights': 'uniform'}",minmax,True,1,26,43089.31398151659,1.3821568411035456,31818.84432692308,-0.01017200552825881,-2156.025833333333,44091.850000000006,30249.854279810497,1.5350229019825479,22201.23170138889,0.07204058142506287,13,rmse,21849.319996490187,,,,83698.87141577016,0.6516087129922844,72440.750224359,-4.608407917831662,False,Albany-conventional,Albany,conventional
weighted,combo,,"{'how': 'weighted', 'models': ('mlr', 'knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'prophet'), 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,47281.20085829249,4.870669505825308,38206.81822191257,-0.2162788811809715,-7761.597166150674,44091.850000000006,14560.736127104998,1.5047144654926587,11019.031835654436,0.7849947456535097,,,,,"['knn', 'mlp', 'elasticnet', 'prophet', 'mlr', 'xgboost', 'gbt']",,126435.51122329956,1.011933875173626,110385.5655913752,-11.797894550536451,False,Albany-conventional,Albany,conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5', 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,43400.365477589476,2.434889744437003,32265.427659013774,-0.024809028397897892,-8413.84731028844,44091.850000000006,27501.780994171317,1.659576720727885,19991.795535529352,0.23298466142602936,,,,,"['knn', 'mlp', 'elasticnet', 'prophet', 'mlr']",,163376.90117615103,1.3347419286169506,144314.4668863731,-20.368876958946327,False,Albany-conventional,Albany,conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{'max_depth': 4},minmax,True,1,26,45203.19181819765,4.590569900255505,35398.28611731896,-0.11171732194726891,29428.052734375,44091.850000000006,436.35259024513306,0.07063447124224169,319.34460802350765,0.9998069110028329,13,rmse,32387.79152219254,,,,198213.9770518365,1.6599287762768755,176556.9511277419,-30.4534972378852,False,Albany-conventional,Albany,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'alpha': 1.4, 'l1_ratio': 0.0}",minmax,True,1,26,56535.0118546685,8.218908801629853,43955.08053045861,-0.7389662147289942,-33424.91833074527,44091.850000000006,31307.297687468465,1.0240936621163084,22585.118027822515,0.006029315310878913,13,rmse,22647.780875825098,,,,575461.212327292,4.749556111942525,504815.69181647734,-264.1139022766472,False,Albany-conventional,Albany,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'max_depth': 3, 'n_estimators': 100}",minmax,True,1,26,1760.8433973621968,2.008913782365701,1429.6773188367865,-0.3487337651340727,954.1879044100052,-832.6299999999997,175.6461045330242,1.019433920986096,140.65301765254657,0.9481381041511712,13,rmse,1057.2040164588907,,,,1602.043768045638,0.39689963509045345,1360.5359109531573,-0.608006161218388,True,Albany-organic,Albany,organic
