ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,CILevel,CIPlusMinus,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Series
silverkite,silverkite,,{},,168,False,True,1,26,40781.21636777447,2.3261565207138255,30513.99728250888,0.09515014799770061,4391.671181795346,44091.850000000006,0.95,45090.85179482578,28950.790789955034,1.5750346157933188,21457.495639685152,0.1500306363835866,,,,True,,,39797.316239942746,0.23375802344789848,28365.050496673328,-0.26796703230798924,True,Albany-conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': None}",minmax,168,True,True,1,26,41845.40369640582,1.8846920792237647,32111.344097378318,0.0473098098650272,8302.633685024924,44091.850000000006,0.95,21799.50332542117,12166.997266821374,1.6067221919480064,9633.26746608855,0.8657247752999468,5,rmse,19393.23487907422,,,,46583.00125602512,0.412149343219201,39800.10024425477,-0.7372220032737922,False,Albany-conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,1,26,42059.57888185191,4.267524186560747,33399.15808105469,0.037532641982211734,-17163.80859375,44091.850000000006,0.95,2035.2753066331652,1043.873205470429,0.2508826326470177,782.8661317809203,0.999011618593084,5,rmse,21230.8171100557,,,,47816.24860849125,0.37181790530273684,36816.20308819111,-0.8304226926390916,False,Albany-conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,,1,26,42621.25605444674,1.1911038260227436,31702.334453560263,0.011654798928427246,1523.9103616414545,44091.850000000006,0.95,48222.26450063449,28192.032606644643,1.0194538311883266,20929.060497613722,0.27908868021782507,,,,,"['knn', 'mlp', 'elasticnet', 'svr', 'gbt']",,40830.5475064407,0.21835699673002518,27724.352041775262,-0.33466046679447237,False,Albany-conventional
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,,1,26,42692.665147162515,1.2823757536144056,31782.884294814008,0.008340210666892944,-276.09518199242643,44091.850000000006,0.95,67499.64289351738,28983.95837302679,0.9666143667121909,21426.00019815288,0.23801844019592966,,,,,"['knn', 'mlp', 'elasticnet', 'svr', 'gbt', 'xgboost', 'mlr']","(0.25008286615894326, 0.201725722074367, 0.2013932266026544, 0.198371072435103, 0.09727089265295605, 0.051156220075976394, 0.0)",44918.804576558825,0.26049481730157065,32284.68328181956,-0.6153133016355932,False,Albany-conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},scale,168,True,True,1,26,42850.233626433095,3.2730354114603655,33673.612359854655,0.0010067414067399527,-9221.843108246696,44091.850000000006,0.95,41533.18693496492,21953.85573869508,5.1205407982272035,17312.605973780635,0.5628296704760631,5,rmse,23269.295445966487,,,,46440.65621065203,0.2903214868391253,34401.599273158965,-0.7266212639359841,False,Albany-conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,168,True,True,1,26,42957.25075751829,1.0462326026247653,31584.36954518944,-0.003989399099250779,401.29533063885003,44091.850000000006,0.95,62397.7652305994,33203.21519903207,1.061964071193214,24396.523673135776,2.4528637104115347e-05,5,rmse,15364.584483550278,,,,44150.80033342273,0.24463301472100116,30774.826406628206,-0.5605495067708872,False,Albany-conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 2.0, 'l1_ratio': 0.0}",minmax,168,True,True,1,26,42979.66575259843,1.0711050808287745,31603.639828171898,-0.005037431197260522,278.56197861952126,44091.850000000006,0.95,76556.45645204037,33011.135151229944,0.9915847325812976,24258.05636014761,0.011560746372579978,5,rmse,15244.157372454376,,,,53592.17901053574,0.3340673568600321,40547.193769948826,-1.2993401376448133,False,Albany-conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'adam', 'random_state': 20}",pt,168,True,True,1,26,42982.85910614568,0.9986245183944615,31582.9271554237,-0.005186783641919934,10.801813923975637,44091.850000000006,0.95,55527.45834561144,33198.56371114495,0.9997796786629378,24391.568054116182,0.00030468511927861375,5,rmse,15230.90805859053,,,,49075.31233078383,0.28566934191671856,35497.75504663947,-0.9280865903706752,False,Albany-conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 20, 'weights': 'uniform'}",minmax,168,True,True,1,26,43432.85840853838,1.4026362066525855,32385.491538461545,-0.02634410828830891,-1373.7409999999995,44091.850000000006,0.95,73640.71298777167,32887.01723594845,1.3293950229133087,24518.767992957746,0.01897959957167139,5,rmse,13303.967591595057,,,,73443.33667690562,0.546414706113022,61869.52555769231,-3.318224217003321,False,Albany-conventional
prophet,prophet,,{},,168,False,True,1,26,43469.470698505414,1.8544085118665699,32440.511202198744,-0.028075177686196495,-6137.8038492928645,44091.850000000006,0.95,59089.82784544839,30753.00877673868,2.0459712055364827,22698.779010666145,0.040913816405262704,,,,True,,,116303.62389695836,0.8975816003750059,99668.50712184432,-9.828963348693602,False,Albany-conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,1,26,1452.0626472751208,1.1615297641377078,1049.5428301275695,0.0828181091380108,-513.1324462890625,-832.6299999999997,0.95,34.32059498963294,18.384221745484833,0.16091698363485288,13.800967380228188,0.9995045353161724,5,rmse,816.1143377603321,,,,1359.5081103201528,0.3353422505202107,1190.576887690471,-0.15798400393208412,True,Albany-organic
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,,1,26,1504.863803869374,1.0363425287955654,1114.7951304368041,0.014902637393871654,0.7702243813690473,-832.6299999999997,0.95,1386.2257561256138,672.0928142597104,0.8979264734557695,438.7258034502331,0.3378129111857362,,,,,"['knn', 'elasticnet', 'mlp', 'svr', 'gbt', 'xgboost', 'mlr']","(0.2103158035601236, 0.20148244357530215, 0.20042738413513977, 0.19228401441426551, 0.10492077779900487, 0.09056957651616414, 0.0)",1293.2409350601715,0.27371507422184693,1026.797504121028,-0.047846918351764245,False,Albany-organic
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,168,True,True,1,26,1508.8276100951246,1.2952649282642172,1165.3738712164509,0.009706316532997028,235.316560568716,-832.6299999999997,0.95,606.0795410070855,330.2367147277333,1.3096400133319275,241.51580319628894,0.8401278134456744,5,rmse,783.6139960455233,,,,3986.284676128661,0.9903235825925887,3341.1527785387784,-8.955786506072876,False,Albany-organic
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,,1,26,1511.1463782720357,1.0314615461803112,1121.9221629648973,0.00666020853177185,68.63771949853431,-832.6299999999997,0.95,1239.0059579615922,691.7023076413058,0.9785758949155021,456.80136275503406,0.29860824947027553,,,,,"['knn', 'elasticnet', 'mlp', 'svr', 'gbt']",,1388.3330531100676,0.3223349628907751,1155.0171296023907,-0.20760883413346432,False,Albany-organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},pt,168,True,True,1,26,1514.6419559044652,0.9717073952153287,1085.2594016836754,0.00205931419443961,27.822083645394116,-832.6299999999997,0.95,1297.7777024951085,667.867960027286,3.3567240519677997,481.1099734181391,0.3461119160457711,5,rmse,1021.2220585516469,,,,1414.009449343089,0.23385645454286272,1000.9558706731502,-0.25268990640504385,False,Albany-organic
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,168,True,True,1,26,1516.3408185824458,0.976225985009607,1106.5686857931573,-0.00018057485935041306,-30.745928525894442,-832.6299999999997,0.95,1705.2185592439484,827.9047441788437,1.2264508979834874,523.5185893583227,-0.004807682649977885,5,rmse,585.7674891679028,,,,1551.8891238711694,0.23107459557466126,1081.3189839732613,-0.5088995659248001,False,Albany-organic
