ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
silverkite,silverkite,,{},,168,False,True,1,26,40781.21636777447,2.3261565207138255,30513.99728250888,0.09515014799770061,4391.671181795346,44091.850000000006,28950.790789955034,1.5750346157933188,21457.495639685152,0.1500306363835866,,,,True,,,39797.316239942746,0.23375802344789848,28365.050496673328,-0.26796703230798924,True,Albany-conventional,Albany,conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,168,True,True,1,26,42957.29898482594,1.046412117722876,31584.505820762326,-0.0039916534210220345,401.3603416402806,44091.850000000006,33203.21519903207,1.061964071193214,24396.523673135776,2.4528637104115347e-05,5,rmse,15364.425361289068,,,,44142.98985178895,0.24457322451817876,30767.60795231726,-0.5599974186974934,False,Albany-conventional,Albany,conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",pt,168,True,True,1,26,42984.464421826626,0.9999731237135823,31584.664710484867,-0.005261868095239874,0.09301474378477309,44091.850000000006,17.885332723957184,0.009495813676169028,13.227290959053775,0.9999997098496395,5,rmse,15223.248632359633,,,,49084.769839047054,0.285712875230097,35503.47642751578,-0.9288298012054457,False,Albany-conventional,Albany,conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,168,True,True,1,26,42850.23362644026,3.2730354114629083,33673.61235985921,0.0010067414064058866,-9221.84310823679,44091.850000000006,21953.855738696595,5.120540798234341,17312.605973787144,0.5628296704760029,5,rmse,23269.295445997046,,,,46440.65621057266,0.29032148683852826,34401.59927309137,-0.7266212639300824,False,Albany-conventional,Albany,conventional
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,,1,26,42522.376790496746,1.2853260727571358,31949.227386743936,0.016235306133317695,2200.3401701830694,44091.850000000006,21679.393862959605,1.4245115807126951,16134.386483216225,0.5736921420345029,,,,,"['knn', 'mlp', 'svr', 'elasticnet', 'mlr', 'gbt', 'xgboost']","(0.1940536639023863, 0.19394001975095623, 0.1933698738456656, 0.19298020297505625, 0.16144584964686523, 0.06421038987907038, 0.0)",36302.01510147351,0.3127969588618488,30280.383519618612,-0.055022825812711895,False,Albany-conventional,Albany,conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,168,False,,1,26,42272.554424182825,1.3446322479171593,31899.351719667204,0.027760742551056317,3203.3533498391407,44091.850000000006,22615.35220490044,1.612263433230389,16822.328334559166,0.5360878165967243,,,,,"['knn', 'mlp', 'svr', 'elasticnet', 'mlr']",,41749.633356850856,0.3585415620645485,34977.59989535548,-0.3954225002398821,False,Albany-conventional,Albany,conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 9, 'weights': 'uniform'}",minmax,168,True,True,1,26,42294.906640277884,1.2669067944545136,31479.893504273503,0.026732299971780504,-636.3988888888902,44091.850000000006,32198.145357239668,1.465202480636706,23681.54728482003,0.05964729077140374,5,rmse,15195.108625719266,,,,54400.61398416703,0.3587068672744521,42571.76162393161,-1.3692341956775231,False,Albany-conventional,Albany,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 3, 'max_features': 'sqrt'}",minmax,168,True,True,1,26,53049.43566978324,4.622056937009032,41783.566431518615,-0.5311498845341425,-18390.433815875098,44091.850000000006,7453.514684690693,0.7923439750676271,5865.275897468951,0.9496091957693513,5,rmse,47346.26244441673,,,,125600.8317808417,0.8605181836618906,99305.51187827022,-11.629478578441875,False,Albany-conventional,Albany,conventional
prophet,prophet,,{},,168,False,True,1,26,43469.470698505414,1.8544085118665699,32440.511202198744,-0.028075177686196495,-6137.8038492928645,44091.850000000006,30753.00877673868,2.0459712055364827,22698.779010666145,0.040913816405262704,,,,True,,,116303.62389695836,0.8975816003750059,99668.50712184432,-9.828963348693602,False,Albany-conventional,Albany,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 1.0, 'l1_ratio': 0.75}",minmax,168,True,True,1,26,47531.74574340916,5.475390241923161,38042.463576769835,-0.22920325033607858,25473.55538993732,44091.850000000006,31971.262655617193,1.1036872064636465,23555.399398600664,0.07285290129982436,5,rmse,15460.913748491763,,,,317356.8039473225,2.6441573063344666,273830.94368131,-79.6298806933255,False,Albany-conventional,Albany,conventional
