ModelNickname,Estimator,Xvars,HyperParams,Scaler,Tuned,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,integration,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25,), 'solver': 'adam', 'random_state': 20}",,True,1,26,44558.17544102233,1.1605613577532614,32501.24328775293,-0.08021690007423166,-1158.6476350505732,44091.850000000006,26809.53674808627,2.01321501643183,19190.25842542253,0.27111161494805314,13,rmse,22071.45189266992,,,,33728.27310938075,0.19261727329750233,22866.46578409156,0.0892721838851912,True,Albany-conventional,Albany,conventional
prophet,prophet,,{'n_changepoints': 0},,True,1,26,42984.67028889062,1.3314667904169122,32422.388414263867,-0.0052714971929941346,-1667.8307869924317,44091.850000000006,30751.357791372076,2.057499236703208,22712.404520460354,0.04101679135397396,13,rmse,22864.651818000566,True,,,70264.69103380179,0.5542839279712752,60976.16200071267,-2.9525254181050062,False,Albany-conventional,Albany,conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{},,True,1,26,39571.65874793398,2.0545699284074845,30080.5355189692,0.14802925981939863,-3661.813965320587,44091.850000000006,24630.70946197822,4.395984791833582,18494.489360579068,0.3847717726647639,13,rmse,23631.37498873662,,,,77238.10813868948,0.5964647350743404,66290.86841180644,-3.7759925975005713,False,Albany-conventional,Albany,conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'n_neighbors': 12, 'weights': 'uniform'}",minmax,True,1,26,43089.31398151659,1.3821568411035456,31818.84432692308,-0.01017200552825881,-2156.025833333333,44091.850000000006,30249.854279810497,1.5350229019825479,22201.23170138889,0.07204058142506287,13,rmse,21849.319996490187,,,,83698.87141577016,0.6516087129922844,72440.750224359,-4.608407917831662,False,Albany-conventional,Albany,conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5', 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,43400.365477589476,2.434889744437003,32265.427659013774,-0.024809028397897892,-8413.84731028844,44091.850000000006,27501.5385396529,1.6577085139677774,19991.720334623515,0.23299818531488847,,,,,"['knn', 'mlp', 'elasticnet', 'prophet', 'mlr']",,163376.90117615103,1.3347419286169506,144314.4668863731,-20.368876958946327,False,Albany-conventional,Albany,conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{'max_depth': 4},minmax,True,1,26,45203.19181819765,4.590569900255505,35398.28611731896,-0.11171732194726891,29428.052734375,44091.850000000006,436.35259024513306,0.07063447124224169,319.34460802350765,0.9998069110028329,13,rmse,32387.79152219254,,,,198213.9770518365,1.6599287762768755,176556.9511277419,-30.4534972378852,False,Albany-conventional,Albany,conventional
weighted,combo,,"{'how': 'weighted', 'models': ('mlr', 'knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'prophet'), 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,51242.24195589558,5.038546837004887,42346.58213954613,-0.42860581939554865,-17116.740207544248,44091.850000000006,8811.315915118157,0.8334971246347008,6595.001136576717,0.9212657028111784,,,,,"['knn', 'mlp', 'elasticnet', 'prophet', 'mlr', 'xgboost', 'gbt']",,269208.6229772909,2.3007360694988224,242053.15305606194,-57.02007993693106,False,Albany-conventional,Albany,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'max_depth': 2, 'n_estimators': 500}",minmax,True,1,26,71247.433583908,8.812426526068734,62580.986643655844,-1.761815226474011,-44700.03437487553,44091.850000000006,3169.776173481006,0.8097769268821194,2550.5161764049185,0.989810811342403,13,rmse,46254.311357955325,,,,366565.0117779574,3.1946840708484805,332179.4269893296,-106.57278415263964,False,Albany-conventional,Albany,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'alpha': 1.4, 'l1_ratio': 0.0}",minmax,True,1,26,56535.0118546685,8.218908801629853,43955.08053045861,-0.7389662147289942,-33424.91833074527,44091.850000000006,31304.670361552093,1.0208156501778745,22581.679259237724,0.006196137461255802,13,rmse,22647.7809078484,,,,575461.212327292,4.749556111942525,504815.69181647734,-264.1139022766472,False,Albany-conventional,Albany,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'max_depth': 3, 'n_estimators': 100}",minmax,True,1,26,1785.3679295856703,2.0646083085471574,1437.045195636832,-0.38656496439535126,896.3000838843316,-832.6299999999997,175.1370981268753,1.043016817402321,141.04025622977852,0.9484382507184852,13,rmse,999.180883882324,,,,1442.9972855302249,0.28875002945134487,1123.6576732987855,-0.30457779719284295,True,Albany-organic,Albany,organic
